POLICY_EFF_DT,LOSS_DT,REPORT_DT,INSURANCE_TYPE,PREMIUM_AMOUNT,CLAIM_AMOUNT,CITY,STATE,POSTAL_CODE,MARITAL_STATUS,AGE,TENURE,EMPLOYMENT_STATUS,NO_OF_FAMILY_MEMBERS,RISK_SEGMENTATION,HOUSE_TYPE,SOCIAL_CLASS,CUSTOMER_EDUCATION_LEVEL,CLAIM_STATUS,INCIDENT_SEVERITY,AUTHORITY_CONTACTED,ANY_INJURY,POLICE_REPORT_AVAILABLE,INCIDENT_STATE,INCIDENT_CITY,INCIDENT_HOUR_OF_THE_DAY,AGENT_ID,VENDOR_ID
318,19,22,0,157.13,9000,39,3,85308,1,54,89,1,3,1,1,1,0,0,0,2,0,1,9,100,4,143,208
296,13,18,4,141.71,26000,6,5,80005,0,61,80,1,4,1,2,2,0,0,2,0,1,0,1,61,0,270,222
30,27,27,4,157.24,13000,104,4,94591,0,47,68,1,6,1,2,2,5,0,2,2,0,1,5,35,19,307,8
422,15,20,0,172.87,16000,102,9,31404,1,36,16,1,7,1,0,2,4,0,1,0,0,0,9,100,12,93,21
376,21,23,5,88.53,3000,51,4,94550,1,51,16,1,2,2,2,0,4,0,0,2,0,1,14,65,18,222,170
407,26,26,1,87.02,52625,39,3,85301,0,42,38,1,2,2,2,2,1,0,0,0,0,1,3,34,0,137,228
372,13,18,0,197.23,3000,77,8,32404,1,61,20,1,7,1,2,2,6,0,0,2,1,1,6,54,10,114,44
450,15,20,3,83.77,8000,95,9,31406,1,35,97,1,3,1,2,2,2,0,2,2,0,1,8,77,10,54,112
383,27,27,3,82.14,5000,54,10,40202,0,27,118,1,4,0,0,2,0,0,0,2,0,1,3,34,22,158,155
280,17,21,5,71.29,4000,66,1,36117,1,61,119,1,4,1,2,0,5,0,0,3,0,0,4,98,4,240,228
429,26,26,1,61.45,52625,57,6,6040,0,59,14,1,7,2,0,2,4,0,0,0,1,1,12,17,23,382,48
309,27,27,3,101.15,8000,69,14,37221,1,42,39,1,2,0,1,0,2,1,0,0,1,1,6,54,3,97,228
164,30,28,0,157.95,11000,3,0,99515,1,57,118,1,3,2,0,1,0,0,0,3,0,1,10,50,22,4,60
409,23,24,1,64.16,51000,95,9,31419,0,31,118,1,7,1,1,1,2,0,2,0,1,0,0,1,0,383,228
95,26,26,2,6.76,700,58,2,72101,1,55,90,1,6,1,0,0,5,0,0,2,1,1,5,4,11,115,40
337,11,16,3,128.73,9000,108,7,20019,1,57,48,1,2,1,2,1,6,0,1,2,0,1,2,28,22,212,14
241,13,18,4,114.42,39000,57,6,6040,1,53,19,1,5,2,0,2,0,0,0,1,0,1,7,114,2,316,75
340,28,26,4,157.18,40000,6,5,80005,1,32,106,1,4,1,0,0,0,0,0,2,0,1,1,61,14,30,228
32,33,29,3,116.55,8000,57,6,6042,0,45,69,1,4,0,0,2,2,0,2,0,0,1,11,29,20,347,33
103,21,23,1,77.17,52625,108,7,20011,1,59,119,1,5,2,0,2,2,0,2,3,1,1,5,4,1,175,228
138,36,31,0,155.23,17000,45,15,5001,1,51,51,1,6,1,1,2,2,0,2,1,1,0,5,4,3,157,68
267,32,29,2,9.15,300,11,4,94708,0,51,101,1,4,1,2,1,4,0,0,0,0,1,7,114,18,126,228
424,34,30,1,81.45,52625,78,8,32413,0,44,49,1,4,1,2,2,0,0,0,0,1,1,4,121,7,105,128
286,28,26,4,153.04,10000,3,0,99503,1,64,81,0,7,2,2,2,6,0,2,3,0,0,5,4,22,90,218
419,21,23,4,120.31,30000,95,9,31419,1,47,60,1,5,1,0,2,0,0,1,2,1,0,8,53,10,331,228
256,33,29,4,87.09,37000,44,12,21076,1,47,95,1,5,0,0,2,0,0,1,2,1,1,14,65,13,27,14
447,15,20,0,130.78,17000,74,4,94611,1,26,28,1,3,1,2,2,5,0,2,2,1,1,9,100,11,258,228
317,34,30,0,119.4,19000,33,2,72701,1,57,85,1,3,1,1,0,4,0,1,2,0,0,11,85,0,403,103
415,26,26,4,159.2,37000,66,1,36105,1,43,32,0,3,1,1,1,0,0,1,3,0,1,12,78,7,150,116
